date,year,tourney_name,surface,indoor,commitment,draw_size,url
19751103,1975,Stockholm,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/stockholm/429/1975/results
19751103,1975,Tokyo,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/tokyo/329/1975/results
19751110,1975,London,Clay,Outdoor|Grass,"$75,000",64,https://www.atptour.com/en/scores/archive/london/2016/1975/results
19751110,1975,Buenos Aires,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/buenos-aires/303/1975/results
19751110,1975,Hong Kong,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/hong-kong/336/1975/results
19751117,1975,Johannesburg,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/johannesburg/254/1975/results
19751117,1975,Calcutta,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/calcutta/680/1975/results
19751130,1975,Masters,Clay,Outdoor|Grass,"$130,000",8,https://www.atptour.com/en/scores/archive/masters/605/1975/results
19751221,1975,Sydney Outdoor,Clay,Outdoor|Grass,"$23,500",64,https://www.atptour.com/en/scores/archive/sydney/338/1975/results
19751226,1976,Australian Open,Grass,Outdoor,"$75,000",64,https://www.atptour.com/en/scores/archive/australian-open/580/1976/results
19760105,1976,Monterrey WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/monterrey/345/1976/results
19760105,1976,Auckland,Grass,Outdoor,"",32,https://www.atptour.com/en/scores/archive/auckland/301/1976/results
19760107,1976,Columbus WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/columbus/662/1976/results
19760112,1976,Indianapolis WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/indianapolis/664/1976/results
19760112,1976,Copenhagen,Carpet,Indoor,"",16,https://www.atptour.com/en/scores/archive/copenhagen/481/1976/results
19760114,1976,Atlanta WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/atlanta/412/1976/results
19760120,1976,Baltimore,Carpet,Indoor,"$50,000",16,https://www.atptour.com/en/scores/archive/baltimore/816/1976/results
19760120,1976,Birmingham,Carpet,Indoor,"$50,000",32,https://www.atptour.com/en/scores/archive/birmingham/650/1976/results
19760126,1976,Philadelphia WCT,Carpet,Indoor,"$115,000",64,https://www.atptour.com/en/scores/archive/philadelphia/401/1976/results
19760129,1976,Cleveland,Carpet,Indoor,"$15,000",32,https://www.atptour.com/en/scores/archive/cleveland/320/1976/results
19760202,1976,Barcelona WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/barcelona/267/1976/results
19760202,1976,Boca Raton,Clay,Outdoor,"$60,000",32,https://www.atptour.com/en/scores/archive/boca-raton/718/1976/results
19760204,1976,Richmond WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/richmond/802/1976/results
19760204,1976,Dayton,Carpet,Indoor,"$35,000",16,https://www.atptour.com/en/scores/archive/dayton/716/1976/results
19760210,1976,Lagos WCT,Hard,Outdoor,"$60,000",16,https://www.atptour.com/en/scores/archive/lagos/205/1976/results
19760210,1976,Toronto WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/toronto/302/1976/results
19760215,1976,Salisbury,Carpet,Indoor,"$50,000",64,https://www.atptour.com/en/scores/archive/salisbury/355/1976/results
19760217,1976,Rome WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/rome/665/1976/results
19760217,1976,St. Louis WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/st-louis/652/1976/results
19760223,1976,Rotterdam WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/rotterdam/407/1976/results
19760224,1976,Fort Worth WCT,Hard,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/fort-worth/653/1976/results
19760224,1976,Khartoum,Hard,Outdoor,"$10,000",16,https://www.atptour.com/en/scores/archive/khartoum/651/1976/results
19760301,1976,Little Rock,Hard,Indoor,"$35,000",32,https://www.atptour.com/en/scores/archive/little-rock/660/1976/results
19760301,1976,Basel,Carpet,Indoor,"$30,000",16,https://www.atptour.com/en/scores/archive/basel/328/1976/results
19760308,1976,Nuremberg,Carpet,Indoor,"$25,000",32,https://www.atptour.com/en/scores/archive/nuremberg/658/1976/results
