date,year,tourney_name,tourney_id,surface,indoor,commitment,draw_size,url
19980615,1998,Nottingham,1998_741,Grass,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/nottingham/741/1998/results
19980622,1998,Wimbledon,1998_540,Grass,Outdoor,$5638006,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1998/results
19980706,1998,Gstaad,1998_314,Clay,Outdoor,$550000,32,https://www.atptour.com/en/scores/archive/gstaad/314/1998/results
19980706,1998,Bastad,1998_316,Clay,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/bastad/316/1998/results
19980706,1998,Newport,1998_315,Grass,Outdoor,$300000,32,https://www.atptour.com/en/scores/archive/newport/315/1998/results
19980720,1998,Stuttgart Outdoor,1998_321,Clay,Outdoor,$1040000,48,https://www.atptour.com/en/scores/archive/stuttgart/321/1998/results
19980720,1998,Washington,1998_418,Hard,Outdoor,$700000,56,https://www.atptour.com/en/scores/archive/washington/418/1998/results
19980727,1998,Kitzbuehel,1998_319,Clay,Outdoor,$525000,48,https://www.atptour.com/en/scores/archive/kitzbuehel/319/1998/results
19980727,1998,Umag,1998_439,Clay,Outdoor,$400000,32,https://www.atptour.com/en/scores/archive/umag/439/1998/results
19980727,1998,Los Angeles,1998_423,Hard,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/los-angeles/423/1998/results
19980803,1998,ATP Masters 1000 Canada,1998_421,Hard,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/toronto/421/1998/results
19980803,1998,Amsterdam,1998_317,Clay,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/amsterdam/317/1998/results
19980810,1998,ATP Masters 1000 Cincinnati,1998_422,Hard,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/cincinnati/422/1998/results
19980810,1998,San Marino,1998_475,Clay,Outdoor,$300000,32,https://www.atptour.com/en/scores/archive/san-marino/475/1998/results
19980817,1998,Indianapolis,1998_419,Hard,Outdoor,$1040000,56,https://www.atptour.com/en/scores/archive/indianapolis/419/1998/results
19980817,1998,New Haven,1998_420,Hard,Outdoor,$870000,56,https://www.atptour.com/en/scores/archive/new-haven/420/1998/results
19980824,1998,Boston,1998_80,Hard,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/boston/80/1998/results
19980824,1998,Long Island,1998_441,Hard,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/long-island/441/1998/results
19980831,1998,US Open,1998_560,Hard,Outdoor,$6032000,128,https://www.atptour.com/en/scores/archive/us-open/560/1998/results
19980914,1998,Bucharest,1998_773,Clay,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/bucharest/773/1998/results
19980914,1998,Tashkent,1998_73,Hard,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/tashkent/73/1998/results
19980914,1998,Bournemouth,1998_620,Clay,Outdoor,$400000,32,https://www.atptour.com/en/scores/archive/bournemouth/620/1998/results
19980928,1998,Grand Slam Cup,1998_604,Hard,Indoor,$4200000,16,https://www.atptour.com/en/scores/archive/munich/604/1998/results
19980928,1998,Mallorca,1998_7306,Clay,Outdoor,$475000,32,https://www.atptour.com/en/scores/archive/mallorca/7306/1998/results
19980928,1998,Toulouse,1998_327,Hard,Indoor,$400000,32,https://www.atptour.com/en/scores/archive/toulouse/327/1998/results
19981005,1998,Basel,1998_328,Carpet,Indoor,$1000000,32,https://www.atptour.com/en/scores/archive/basel/328/1998/results
19981005,1998,Palermo,1998_325,Clay,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/palermo/325/1998/results
19981005,1998,Shanghai,1998_890,Hard,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/shanghai/890/1998/results
19981012,1998,Vienna,1998_337,Carpet,Indoor,$800000,32,https://www.atptour.com/en/scores/archive/vienna/337/1998/results
